sprite name,melee,ranged,sprite selection,type,behaviour,sharpness,sprite_path
fireextinguisher_ceramicshard,fire_extinguisher,ceramic_shard,1,melee,slam,sharp,fire_extinguisher-ceramic_shard.png
fireextinguisher_cheesewheel,fire_extinguisher,cheese_wheel,1,melee,swing,blunt,fire_extinguisher-cheese_wheel.png
fireextinguisher_fork,fire_extinguisher,fork,2,melee,thrust,sharp,fire_extinguisher-fork.png
fireextinguisher_icecubes,fire_extinguisher,ice_cubes,1,melee,slam,blunt,fire_extinguisher-ice_cubes.png
fireextinguisher_knife,fire_extinguisher,knife,2,melee,thrust,sharp,fire_extinguisher-knife.png
fireextinguisher_nails,fire_extinguisher,nails,1,melee,swing,sharp,fire_extinguisher-nails.png
fireextinguisher_sponge,fire_extinguisher,sponge,2,melee,slam,blunt,fire_extinguisher-sponge.png
fireextinguisher_toiletpaper,fire_extinguisher,toilet_paper,1,melee,slam,blunt,fire_extinguisher-toilet_paper.png
foodtray_ceramicshard,food_tray,ceramic_shard,1,melee,swing,sharp,food_tray-ceramic_shard.png
foodtray_cheesewheel,food_tray,cheese_wheel,1,melee,thrust,blunt,food_tray-cheese_wheel.png
foodtray_fork,food_tray,fork,2,ranged,boomerang,sharp,food_tray-fork.png
foodtray_icecubes,food_tray,ice_cubes,1,melee,slam,blunt,food_tray-ice_cubes.png
foodtray_knife,food_tray,knife,1,ranged,boomerang,sharp,food_tray-knife.png
foodtray_nails,food_tray,nails,2,melee,slam,sharp,food_tray-nails.png
foodtray_toiletpaper,food_tray,toilet_paper,3,melee,slam,blunt,food_tray-toilet_paper.png
metalpipe_ceramicshard,metal_pipe,ceramic_shard,1,melee,thrust,sharp,metal_pipe-ceramic_shard.png
metalpipe_cheesewheel,metal_pipe,cheese_wheel,4,ranged,boomerang,blunt,metal_pipe-cheese_wheel.png
metalpipe_fork,metal_pipe,fork,2,melee,thrust,sharp,metal_pipe-fork.png
metalpipe_icecubes,metal_pipe,ice_cubes,2,melee,swing,blunt,metal_pipe-ice_cubes.png
metalpipe_knife,metal_pipe,knife,1,ranged,boomerang,sharp,metal_pipe-knife.png
metalpipe_nails,metal_pipe,nails,1,melee,swing,sharp,metal_pipe-nails.png
metalpipe_sponge,metal_pipe,sponge,2,melee,slam,blunt,metal_pipe-sponge.png
metalpipe_toiletpaper,metal_pipe,toilet_paper,2,melee,thrust,blunt,metal_pipe-toilet_paper.png
mop_ceramicshard,mop,ceramic_shard,2,ranged,boomerang,sharp,mop-ceramic_shard.png
mop_cheesewheel,mop,cheese_wheel,2,ranged,boomerang,blunt,mop-cheese_wheel.png
mop_fork,mop,fork,1,melee,thrust,sharp,mop-fork.png
mop_icecubes,mop,ice_cubes,2,melee,slam,blunt,mop-ice_cubes.png
mop_knife,mop,knife,1,melee,thrust,sharp,mop-knife.png
mop_nails,mop,nails,2,melee,slam,sharp,mop-nails.png
mop_sponge,mop,sponge,1,melee,thrust,blunt,mop-sponge.png
mop_toiletpaper,mop,toilet_paper,1,melee,thrust,blunt,mop-toilet_paper.png
pan_ceramicshard,pan,ceramic_shard,2,ranged,boomerang,sharp,pan-ceramic_shard.png
pan_cheesewheel,pan,cheese_wheel,2,melee,slam,blunt,pan-cheese_wheel.png
pan_fork,pan,fork,1,ranged,boomerang,sharp,pan-fork.png
pan_icecubes,pan,ice_cubes,2,melee,swing,blunt,pan-ice_cubes.png
pan_knife,pan,knife,2,melee,swing,sharp,pan-knife.png
pan_nails,pan,nails,1,melee,slam,sharp,pan-nails.png
pan_sponge,pan,sponge,1,melee,swing,blunt,pan-sponge.png
pan_toiletpaper,pan,toilet_paper,2,ranged,boomerang,blunt,pan-toilet_paper.png
skewer_ceramicshard,skewer,ceramic_shard,1,melee,thrust,sharp,skewer-ceramic_shard.png
skewer_cheesewheel,skewer,cheese_wheel,3,ranged,boomerang,sharp,skewer-cheese_wheel.png
skewer_fork,skewer,fork,2,ranged,boomerang,sharp,skewer-fork.png
skewer_icecubes,skewer,ice_cubes,2,melee,slam,blunt,skewer-ice_cubes.png
skewer_knife,skewer,knife,3,melee,thrust,sharp,skewer-knife.png
skewer_nails,skewer,nails,4,melee,slam,sharp,skewer-nails.png
skewer_sponge,skewer,sponge,2,melee,thrust,blunt,skewer-sponge.png
skewer_toiletpaper,skewer,toilet_paper,2,melee,thrust,blunt,skewer-toilet_paper.png
woodplank_ceramicshard,wood_plank,ceramic_shard,2,melee,swing,blunt,wood_plank-ceramic_shard.png
woodplank_cheesewheel,wood_plank,cheese_wheel,2,melee,swing,blunt,wood_plank-cheese_wheel.png
woodplank_fork,wood_plank,fork,1,melee,thrust,sharp,wood_plank-fork.png
woodplank_icecubes,wood_plank,ice_cubes,1,melee,swing,blunt,wood_plank-ice_cubes.png
woodplank_knife,wood_plank,knife,1,ranged,boomerang,sharp,wood_plank-knife.png
woodplank_nails,wood_plank,nails,1,melee,swing,sharp,wood_plank-nails.png
woodplank_sponge,wood_plank,sponge,1,melee,swing,blunt,wood_plank-sponge.png
woodplank_toiletpaper,wood_plank,toilet_paper,1,melee,slam,blunt,wood_plank-toilet_paper.png
